Date	Price	Open	High	Low	Change %
13-Jan-15	229.84	267.33	267.63	222.49	-14.12
12-Jan-15	267.62	267.2	281.05	265.49	0.54
11-Jan-15	266.19	274.77	279.96	265	-3.22
10-Jan-15	275.04	292.41	292.41	271	-6.08
9-Jan-15	292.83	285.38	295.57	282.99	2.52
8-Jan-15	285.64	296.2	296.2	285.64	-3.82
7-Jan-15	297	286.1	303.83	285	4.07
6-Jan-15	285.39	273.24	287.83	268.52	4.46
5-Jan-15	273.2	261	276.46	260.47	5.57
4-Jan-15	258.78	281.99	288.9	258.78	-8.23
3-Jan-15	281.99	314.81	314.81	281.99	-10.51
2-Jan-15	315.11	313.6	316.01	313	0.4
1-Jan-15	313.85	317.51	317.51	312.88	-0.99
31-Dec-14	317	309	317.6	308.56	2.66
30-Dec-14	308.79	314.36	315.3	307.93	-1
29-Dec-14	311.92	319.55	321.49	311.92	-1.77
28-Dec-14	317.53	317.27	318.59	312.03	0.51
27-Dec-14	315.91	327.12	327.12	312.74	-3.83
26-Dec-14	328.49	319.2	329.84	317.53	2.97
25-Dec-14	319	322.57	323.08	317.89	-1.17
24-Dec-14	322.79	333.65	334.25	322.79	-3.04
23-Dec-14	332.91	329.99	335.16	326.07	1.18
22-Dec-14	329.02	318.2	329.22	317.5	3.72
21-Dec-14	317.21	328.43	328.43	316.91	-3.6
20-Dec-14	329.07	315.77	329.99	314.92	4.22
19-Dec-14	315.74	309.28	317	305.98	2.43
18-Dec-14	308.26	318.65	321.07	303.62	-3.12
17-Dec-14	318.19	333.42	337.02	315.01	-3.76
16-Dec-14	330.61	348.14	348.14	330.61	-4.78
15-Dec-14	347.19	354.12	354.12	346.3	-1.55
14-Dec-14	352.67	350.64	356.75	346.99	0.51
13-Dec-14	350.88	352.64	352.64	348.33	-0.56
12-Dec-14	352.84	350.38	356.99	349.85	0.8
11-Dec-14	350.04	346.63	363.31	343.62	0.9
10-Dec-14	346.92	354	356.22	343.53	-1.96
9-Dec-14	353.85	363.23	364.36	345.52	-2.6
8-Dec-14	363.31	375.19	375.59	361.7	-2.97
7-Dec-14	374.43	373.91	376.72	370.91	0.45
6-Dec-14	372.77	377.97	379.12	371.07	-1.49
5-Dec-14	378.39	368.75	380.57	367.24	2.2
4-Dec-14	370.26	375.78	378.88	364.81	-1.46
3-Dec-14	375.74	381.4	383.11	374.25	-1.64
2-Dec-14	382.01	377.39	382.56	376.94	1.17
1-Dec-14	377.6	376.68	380	374.89	0.23
30-Nov-14	376.72	374.66	380.31	373.06	0.6
29-Nov-14	374.49	375.25	383	372	-0.29
28-Nov-14	375.57	369.87	380.28	359.52	1.62
27-Nov-14	369.57	369.28	373.48	368.14	0.46
26-Nov-14	367.87	377.03	378.3	365.78	-2.12
25-Nov-14	375.82	373.54	390	373.08	0.72
24-Nov-14	373.15	365.25	386.99	327.79	3.49
23-Nov-14	360.57	347.49	360.57	346.74	4.11
22-Nov-14	346.35	350.91	360.25	346.09	-0.85
21-Nov-14	349.33	353.5	356.03	346.1	-1.84
20-Nov-14	355.88	380.46	380.61	353.39	-6.14
19-Nov-14	379.16	373.09	381.64	372.12	2.48
18-Nov-14	370	388.63	390.87	370	-4.53
17-Nov-14	387.56	388.89	407	376	-0.17
16-Nov-14	388.21	380.56	391.89	380.25	3.11
15-Nov-14	376.51	400.48	406.29	370.97	-5.65
14-Nov-14	399.07	410	414.62	385	-4.85
13-Nov-14	419.42	428.34	445	387.55	0.37
12-Nov-14	417.87	375	431.11	375	13.86
11-Nov-14	367	366.53	367.21	361.32	-0.26
10-Nov-14	367.97	359.98	372.5	355	2.21
9-Nov-14	360	343.69	360	342.52	4.35
8-Nov-14	344.99	341.99	344.99	340.5	1.02
7-Nov-14	341.5	348.5	350	341.07	-2.01
6-Nov-14	348.5	337.77	349.68	335.5	3.24
5-Nov-14	337.55	330.75	341	321	3.26
4-Nov-14	326.9	323.56	330.17	321.75	1.03
3-Nov-14	323.56	324.27	335.5	323.25	0.33
2-Nov-14	322.5	327	329.41	321.27	-1.43
1-Nov-14	327.18	337.66	338.43	321.7	-2.91
31-Oct-14	337	344.91	346.45	336.57	-1.99
30-Oct-14	343.85	334.56	350.64	333.04	3.2
29-Oct-14	333.2	352.22	352.28	333.2	-5.64
28-Oct-14	353.1	351.16	353.22	349.01	0.7
27-Oct-14	350.65	351.13	355	346.49	0.19
26-Oct-14	349.99	346.76	356.27	344.03	0.74
25-Oct-14	347.41	356.75	357.55	342.28	-2.45
24-Oct-14	356.15	356.12	359.94	349	0.05
23-Oct-14	355.98	379.73	381	352.99	-6.31
22-Oct-14	379.96	382.85	385.46	379.73	-0.75
21-Oct-14	382.84	380.73	387.75	378.22	0.49
20-Oct-14	380.98	385.93	386.75	374.61	-1.36
19-Oct-14	386.25	386.3	389.1	384.28	-0.96
18-Oct-14	390	379.11	391.75	377.04	2.56
17-Oct-14	380.25	380.68	385.71	371.91	0.25
16-Oct-14	379.29	395	395	372.19	-3.6
15-Oct-14	393.46	392.72	397.9	379.28	-1.13
14-Oct-14	397.94	387.95	405.8	385.93	3.81
13-Oct-14	383.35	367.11	391.03	363.29	3.04
12-Oct-14	372.03	361.93	375	354.29	2.98
11-Oct-14	361.27	358.85	366	352.25	0.49
10-Oct-14	359.51	363.7	375	352.44	-1.08
9-Oct-14	363.45	349.09	375.69	345.99	3.83
8-Oct-14	350.04	332.06	351	324.98	5.76
7-Oct-14	330.97	330.52	334.56	315.78	2.2
6-Oct-14	323.84	320.24	345.48	303.15	0.43
5-Oct-14	322.45	327.61	341.16	285.12	-1.89
4-Oct-14	328.66	359.63	364.75	322.4	-8.12
3-Oct-14	357.69	371.52	375.08	356.35	-3.78
2-Oct-14	371.74	383.08	385.45	370.29	-2.94
